url,website,phishing,protocol,subdomain,domain,tld,domaintld,hostname,path,params,query,fragment,filename
http://connectavet.com/xe/index.php,1613576619756676.html,1,http,,connectavet,com,connectavet.com,connectavet.com,/xe/index.php,,,,index.php
https://didifiw.top/,1624732303897674.html,1,https,,didifiw,top,didifiw.top,didifiw.top,/,,,,
https://www.invitegroupwhatsapp-berbagivideoseru.onedumb.com/,1608739524416246.html,1,https,www.invitegroupwhatsapp-berbagivideoseru,onedumb,com,onedumb.com,www.invitegroupwhatsapp-berbagivideoseru.onedumb.com,/,,,,
https://myverfy-googol-geuundfe.000webhostapp.com/,1608320844362966.html,1,https,myverfy-googol-geuundfe,000webhostapp,com,000webhostapp.com,myverfy-googol-geuundfe.000webhostapp.com,/,,,,
https://chat.whatsapp.com.join78.ml/,1613576226103078.html,1,https,chat.whatsapp.com,join78,ml,join78.ml,chat.whatsapp.com.join78.ml,/,,,,
https://www1.snnbc.carucd.com/,10003302.html,1,https,www1.snnbc,carucd,com,carucd.com,www1.snnbc.carucd.com,/,,,,
http://185.153.180.25/hot/a.htm,1621740917863544.html,1,http,,185.153.180.25,,185.153.180.25.,185.153.180.25,/hot/a.htm,,,,a.htm
http://blackbelttv.sexxyfemaledolls.com/UPLOADS/BAM/raiffcz/f892c20729474214152cc4acaf08fa39,1608321815439151.html,1,http,blackbelttv,sexxyfemaledolls,com,sexxyfemaledolls.com,blackbelttv.sexxyfemaledolls.com,/UPLOADS/BAM/raiffcz/f892c20729474214152cc4acaf08fa39,,,,f892c20729474214152cc4acaf08fa39
http://mobiilelegind.xyz/,1608996754194244.html,1,http,,mobiilelegind,xyz,mobiilelegind.xyz,mobiilelegind.xyz,/,,,,
http://anrtther12r.live/folder%20/amazknc/amazknc/amazknc/mazon/3de72/homepage/,1625240027289271.html,1,http,,anrtther12r,live,anrtther12r.live,anrtther12r.live,/folder%20/amazknc/amazknc/amazknc/mazon/3de72/homepage/,,,,
https://m.runescape.com-fe.ru/,1619637821957373.html,1,https,m.runescape,com-fe,ru,com-fe.ru,m.runescape.com-fe.ru,/,,,,
https://grosirbasarta.com/login/,10003121.html,1,https,,grosirbasarta,com,grosirbasarta.com,grosirbasarta.com,/login/,,,,
http://whatsappgroupinvitejoinowgrupfreejoin.duckdns.org/,1626924199626522.html,1,http,whatsappgroupinvitejoinowgrupfreejoin,duckdns,org,duckdns.org,whatsappgroupinvitejoinowgrupfreejoin.duckdns.org,/,,,,
http://wildcard.d-tv.tv/Apple.Login/index.html,1609080905481024.html,1,http,wildcard,d-tv,tv,d-tv.tv,wildcard.d-tv.tv,/Apple.Login/index.html,,,,index.html
https://543111.selcdn.ru/office/index4.html?email=aqsdk@mk.nl,1626367156412498.html,1,https,543111,selcdn,ru,selcdn.ru,543111.selcdn.ru,/office/index4.html,,email=aqsdk@mk.nl,,index4.html
http://www.joingrup-wavirals.duckdns.org/,1626535334540952.html,1,http,www.joingrup-wavirals,duckdns,org,duckdns.org,www.joingrup-wavirals.duckdns.org,/,,,,
https://zipcp.com/,1613575841090491.html,1,https,,zipcp,com,zipcp.com,zipcp.com,/,,,,
http://halifax.validate-device-security.com/Login.php,1608140337303172.html,1,http,halifax,validate-device-security,com,validate-device-security.com,halifax.validate-device-security.com,/Login.php,,,,Login.php
http://ce-tech.info/Onlinebanking%20and%20Brokerage%20Deutsche%20Bank.html,1613572608632487.html,1,http,,ce-tech,info,ce-tech.info,ce-tech.info,/Onlinebanking%20and%20Brokerage%20Deutsche%20Bank.html,,,,Onlinebanking%20and%20Brokerage%20Deutsche%20Bank.html
https://irvnpagl.yolasite.com/,1620673616752003.html,1,https,irvnpagl,yolasite,com,yolasite.com,irvnpagl.yolasite.com,/,,,,
