url,phishing,https_true,url_digits_count,url_lenght,url_dot_count,url_underline_count,url_hyphen_count,url_slash_count,url_questionmark_count,url_equal_count,url_at_count,url_and_count,url_exclamation_count,url_space_count,url_space_encoded_count,url_comma_count,url_tilde_count,url_plus_count,url_asterisk_count,url_hashtag_count,url_dollar_count,url_percent_count,url_www_count,url_doubleslash_count,url_http_count,url_https_count,hostname_lenght,hostname_dot_count,hostname_underline_count,hostname_hyphen_count,hostname_slash_count,hostname_questionmark_count,hostname_equal_count,hostname_at_count,hostname_and_count,hostname_exclamation_count,hostname_space_count,hostname_space_encoded_count,hostname_comma_count,hostname_tilde_count,hostname_plus_count,hostname_asterisk_count,hostname_hashtag_count,hostname_dollar_count,hostname_percent_count,hostname_isip,hostname_digits_count,hostname_punycode,query_lenght,query_dot_count,query_underline_count,query_hyphen_count,query_slash_count,query_questionmark_count,query_equal_count,query_at_count,query_and_count,query_exclamation_count,query_space_count,query_space_encoded_count,query_comma_count,query_tilde_count,query_plus_count,query_asterisk_count,query_hashtag_count,query_dollar_count,query_percent_count,file_lenght,file_dot_count,file_underline_count,file_hyphen_count,file_slash_count,file_questionmark_count,file_equal_count,file_at_count,file_and_count,file_exclamation_count,file_space_count,file_space_encoded_count,file_comma_count,file_tilde_count,file_plus_count,file_asterisk_count,file_hashtag_count,file_dollar_count,file_percent_count
https://docs.google.com/presentation/d/e/2PACX-1vR4TxcbXQ_VaIPrMYIJiZojvuj-7syR-lpS1yEsK27mo3iKlwKdo3WBFcvWOMkvwjPrzrwZFkgMvD_v/pub?start=false&amp;loop=false&amp;delayms=3000&amp;slide=id.p,1,1,13,190,3,2,3,7,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,1,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://bafybeig7vnyswt4a3ryzewn2y6o6ldxcgzhay5s5w7gotjt6h6kzrghkte.ipfs.thirdwebgateway.com,1,1,11,92,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,84,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://0t5i1xg0n2ddj-1324577277.cos.ap-jakarta.myqcloud.com/0t5i1xg0n2ddj.html,1,1,20,79,5,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,52,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://new.express.adobe.com/webpage/K89O6E5DG2YLl,1,1,5,51,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://43.156.237.181/ServiceLogin?passive=1209600&amp;continue=https://accounts.google.com/?&amp;xrealip=107.178.232.181&amp;followup=https://accounts.google.com/?&amp;xrealip=107.178.232.181,1,0,42,192,13,0,0,9,3,5,0,4,0,0,0,0,0,0,0,0,0,0,0,3,3,2,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,157,10,0,0,6,2,5,0,4,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://sign-in-att-100012.weeblysite.com/,1,1,6,42,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,33,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://nft.vip-tokyo.jp,1,0,0,23,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,16,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://fixe-orange.godaddysites.com/,1,1,0,37,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,28,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://20.199.80.76/br/safra,1,0,9,28,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://biprovinciacx.webcindario.com/Inicio/,1,1,0,45,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
