url,phishing,website
https://docs.google.com/presentation/d/e/2PACX-1vR4TxcbXQ_VaIPrMYIJiZojvuj-7syR-lpS1yEsK27mo3iKlwKdo3WBFcvWOMkvwjPrzrwZFkgMvD_v/pub?start=false&amp;loop=false&amp;delayms=3000&amp;slide=id.p,1,google_1709935345516118.html
https://bafybeig7vnyswt4a3ryzewn2y6o6ldxcgzhay5s5w7gotjt6h6kzrghkte.ipfs.thirdwebgateway.com,1,thirdwebgateway_1709935345741516.html
https://0t5i1xg0n2ddj-1324577277.cos.ap-jakarta.myqcloud.com/0t5i1xg0n2ddj.html,1,myqcloud_1709935348327880.html
https://new.express.adobe.com/webpage/K89O6E5DG2YLl,1,adobe_1709935348853115.html
http://43.156.237.181/ServiceLogin?passive=1209600&amp;continue=https://accounts.google.com/?&amp;xrealip=107.178.232.181&amp;followup=https://accounts.google.com/?&amp;xrealip=107.178.232.181,1,43.156.237.181_1709935357966988.html
https://sign-in-att-100012.weeblysite.com/,1,weeblysite_1709935359753756.html
http://nft.vip-tokyo.jp,1,vip-tokyo_1709935362720148.html
https://fixe-orange.godaddysites.com/,1,godaddysites_1709935362862853.html
http://20.199.80.76/br/safra,1,20.199.80.76_1709935364022405.html
https://biprovinciacx.webcindario.com/Inicio/,1,webcindario_1709935365280976.html
https://pub-55d4e66ad88746a881ca38372f04d03d.r2.dev/edifa.html,1,r2_1709935365482108.html
https://ipfs.eth.aragon.network/ipfs/bafybeid2hcolte23fnnj6znbue2aldaghgrwlllc2dkot23qhydysgcsby,1,aragon_1709935370918375.html
https://loginmircosoft.myportfolio.com/,1,myportfolio_1709935371365001.html
https://pub-a792eac17e974e6cbd35f02e35b8dce3.r2.dev/indexjs%20%282%29.html,1,r2_1709935371984616.html
https://nftstorage.link/ipfs/QmY9yhupGB9BqQbrS4j7LcPUot2qxtEgWvZm3cDwwCNLkh/links.html,1,nftstorage_1709935372436247.html
https://docs.google.com/presentation/d/e/2PACX-1vSq1_J95M0_VUVl5gJKwv6UZZQwTuiDSuHmAXy5myKy2frHg5BP7buOqHPpVViNOdorsoSk4-FRmWYt/pub?start=false&amp;loop=false&amp;delayms=3000,1,google_1709935373667758.html
https://porezna-uprava-f0415.firebaseapp.com/,1,firebaseapp_1709935373819085.html
https://cf-ipfs.com/ipfs/QmTBFpABuB53DiCr3CyuqiRr8ze3Fw3U8w8ZgN4zqf5ZgF,1,cf-ipfs_1709935374193123.html
https://ipfs.eth.aragon.network/ipfs/bafybeib36jiaortimj6anwuopbgs2gps4r5yewpxzou7yo5ovgrxcaquyi,1,aragon_1709935374536622.html
https://5fgfgffgfg4g4gg.blogspot.com/,1,blogspot_1709935375402457.html
https://cf-ipfs.com/ipfs/QmVTZvKrEQEMgsL2ZvEqhnVAU8tAZ1EcRTtjCkXmQ8T2vo/vali.html,1,cf-ipfs_1709935375490412.html
https://att-login-update.vercel.app/,1,vercel_1709935375701212.html
https://sites.google.com/view/porepaotpaeotae/,1,google_1709935382463393.html
https://aol-100216.weeblysite.com/,1,weeblysite_1709935385209512.html
https://bafkreicms2baufxdnkngdveeb6ksb5sutbffzvfxglycdpk2opnmgq42me.ipfs.cf-ipfs.com,1,cf-ipfs_1709935385761867.html
https://cloudflare-ipfs.com/ipfs/bafybeigymexodv7gjsvvimjqsokuqlpdgtroutmajwor3lnqnleckyeffm/fdsd.html,1,cloudflare-ipfs_1709935386363696.html
https://docs.google.com/presentation/d/e/2PACX-1vQ1wt2qvmvQUz1gnl_5f4z47emMC6ygFqBOBPHxJ9hc__6BA7q4du2350PT6WEBzhp5kJ--5XW6QaR4/pub?start=true&amp;loop=true&amp;delayms=3000,1,google_1709935387157816.html
https://qzcjf.pages.dev/,1,pages_1709935387373682.html
https://ipfs.eth.aragon.network/ipfs/bafybeicsq7nc3vixwjpw2jnb5635kcqoq5n2aqtudlcjtz7pi3rhlfhxwi,1,aragon_1709935387702442.html
https://abcappsiteinst.azurewebsites.net,1,azurewebsites_1709935389365191.html
https://ipfs.eth.aragon.network/ipfs/bafybeibsfi5bwpxqqukgwrn7kfbdktwjlswcvghhnrsldycpura2w3vrd4,1,aragon_1709935390515985.html
https://rcl.ink/vPWLx,1,rcl_1709935391048938.html
https://portail-web.weebly.com/,1,weebly_1709935392076516.html
https://r20.rs6.net/tn.jsp?f=001DyiWYWxw55me5hKOpLoWPi2zPLufLvAVkUsxNuI1kxlGri6oJhvtLT2sS7xHZfY3Cr1DqIPaXnc6nE5f8fbx01TJVPTQdG5PvJ-bzaFb-WS_TfDKUrZRLdK0M17V4KAXbREOpl8kJu0=&amp;c=&amp;ch==&amp;__=/asdf/,1,rs6_1709935393958324.html
https://cloudflare-ipfs.com/ipfs/bafkreicir2wbpqhec3uw6dcd6lrzx4w243wbxd4st6rl6y6xg2aig2p3da?#info@cafedoranjeboom.nl,1,cloudflare-ipfs_1709935399982271.html
http://raactlv2k23confm.com/,1,raactlv2k23confm_1709935400257403.html
https://cloudflare-ipfs.com/ipfs/bafybeif3fzhypmfvbzwool7tnp3e64lle5s6onkc2tpmgn64pzbod3z67e,1,cloudflare-ipfs_1709935400880392.html
https://webmail-104362.weeblysite.com/,1,weeblysite_1709935402376078.html
http://tinyurl.com/gvdelmasparas,1,tinyurl_1709935403228444.html
https://docs.google.com/presentation/d/e/2PACX-1vRnVAxWDBLkXHyaMXgl4wDQaK0rUppu-PySQOAWtJoLuIz2fPmxwdOlg-Y8tDryMyEfdpP5D11o1xGv/pub?start=false&amp;loop=false&amp;delayms=3000,1,google_1709935404281642.html
https://bghocalonia.web.app/,1,web_1709935404410290.html
https://widget.elfsig.ht/8912bddc-7c74-4663-ae1f-23b69ed0fa45,1,elfsig_1709935404770690.html
http://telegawm-btj.top,1,telegawm-btj_1709935406988975.html
https://clickmotivefusion.com/dashboard,1,clickmotivefusion_1709935408219866.html
https://order.daishintc.com/files/slimusps/,1,daishintc_1709935411503722.html
https://pub-7ba8d03a565e483face1cf3b4637ff78.r2.dev/auths.html,1,r2_1709935411636168.html
https://comsync.lijit.com/1/d/r?aqet=clk&v0=83940397222aaeb6ab6cf552522a2ea8&ru=https%3A%2F%2Fnew.express.adobe.com%2Fwebpage%2FdIvaZYbJ9y4qO,1,lijit_1709935411906404.html
https://cloudflare-ipfs.com/ipfs/bafybeigfcunu4rczml2lxpslzzn5x7cyfe7zrp77jseo3avzrvwnbc5yeq,1,cloudflare-ipfs_1709935412045373.html
https://worker-bitter-hall-b24e.s4881850.workers.dev/,1,workers_1709935412199694.html
https://mon-espaceclient-carrefour.firebaseapp.com/,1,firebaseapp_1709935412346056.html
https://cf-ipfs.com/ipfs/QmXe1sXzZ9REkKat7udq7yn4HVZWu9Vun5STWLhvbRbozu,1,cf-ipfs_1709935412665722.html
https://docs.google.com/presentation/d/e/2PACX-1vRypw55His59eCe6MGqIWfakXOGjFvhr1_bqgsprzGbj3nGJ7ccP6RYTKMwZW6pyjQUFFJrPj7vbjWC/pub?start=false&loop=false&delayms=3000,1,google_1709935419481892.html
https://worker-hidden-frost-435b.kencothren.workers.dev/,1,workers_1709935419646444.html
https://nfjjillz.jdfdjjio.workers.dev/,1,workers_1709935419803296.html
https://metafb-z2bpmk7.web.app/,1,web_1709935419920122.html
https://rp.mockplus.com/run/bZJZV6G36Z/0OLM1GZQ3/backToHead?cps=hide&dt=iphoneX&ha=0&la=0&nav=0&out=0&rps=hide&rt=0&as=true,1,mockplus_1709935420376444.html
http://site9614615.92.webydo.com/,1,webydo_1709935420732140.html
https://cloudflare-ipfs.com/ipfs/bafkreiauydybxzxnxfx5mm5wozhih2rtdnoiblgpb5yljgtnmrlzwto4be,1,cloudflare-ipfs_1709935420922705.html
https://dajludommalas12.firebaseapp.com/,1,firebaseapp_1709935421097012.html
https://net9386366376.wixsite.com/my-site,1,wixsite_1709935421452345.html
https://pub-3ea1b0f2ef244d07ab7e88845a9539af.r2.dev/index.html,1,r2_1709935422013567.html
https://kmspico.useprimicia.com.br/en/?Lnk=Seg_158748_1%3C/p&ecastitemid=292792&https://tools.azzurri.atreemo.co.uk/Public/WebEcasts/declink.aspx?,1,useprimicia_1709935422724995.html
https://unismx.weebly.com/,1,weebly_1709935423585268.html
https://aakashfertilitycentre.com/m/router.webmail-sv.jp/,1,aakashfertilitycentre_1709935424518627.html
https://sodasoftheworldrivefr.firebaseapp.com/,1,firebaseapp_1709935424661631.html
https://chrin-caarly-scribly.yolasite.com/,1,yolasite_1709935425644154.html
https://tinyurl.com/4hse44cc,1,tinyurl_1709935426201040.html
https://acessoseguro17.blogspot.com/?gclid=EAIaIQobChMI46abxKaT_QIVhojCCh15JQHHEAAYAiAAEgKhOPD_BwE,1,blogspot_1709935427384399.html
https://edavki-portal.firebaseapp.com/,1,firebaseapp_1709935427514253.html
https://ipfs.eth.aragon.network/ipfs/bafybeia6tei7xvj4efvsjsl3emgib4ryp4lt7wvkr7hvyer2g4e4j5eq5y,1,aragon_1709935427734795.html
https://bafkreiho722wqlgrum24zd6b4nztebkax4fhg7tasvoql6c3awgsdmhavm.ipfs.cf-ipfs.com,1,cf-ipfs_1709935427888325.html
http://hsolb-ciiom.com/,1,hsolb-ciiom_1709935427984506.html
https://warecommercial.com/redirect/retry.php,1,warecommercial_1709935428508827.html
https://btinternet-107998.weeblysite.com/,1,weeblysite_1709935430829335.html
https://warning-account-page-11.start.page/,1,start_1709935431530266.html
https://cloudflare-ipfs.com/ipfs/bafybeifdmllornb63gkmtqax65ad3hfmww4d55ax5mbzxu3oi5pjgniffm,1,cloudflare-ipfs_1709935431661876.html
https://blue-snowflake-573d.ovrchukicyvmee6167.workers.dev/9ef44519-e499-49df-9c53-3cd9300d3dd5,1,workers_1709935431925428.html
