url,website,phishing,protocol,subdomain,domain,tld,domaintld,hostname,path,params,query,fragment,filename
https://docs.google.com/presentation/d/e/2PACX-1vR4TxcbXQ_VaIPrMYIJiZojvuj-7syR-lpS1yEsK27mo3iKlwKdo3WBFcvWOMkvwjPrzrwZFkgMvD_v/pub?start=false&amp;loop=false&amp;delayms=3000&amp;slide=id.p,google_1709935345516118.html,1,https,docs,google,com,google.com,docs.google.com,/presentation/d/e/2PACX-1vR4TxcbXQ_VaIPrMYIJiZojvuj-7syR-lpS1yEsK27mo3iKlwKdo3WBFcvWOMkvwjPrzrwZFkgMvD_v/pub,,start=false&amp;loop=false&amp;delayms=3000&amp;slide=id.p,,pub
https://bafybeig7vnyswt4a3ryzewn2y6o6ldxcgzhay5s5w7gotjt6h6kzrghkte.ipfs.thirdwebgateway.com,thirdwebgateway_1709935345741516.html,1,https,bafybeig7vnyswt4a3ryzewn2y6o6ldxcgzhay5s5w7gotjt6h6kzrghkte.ipfs,thirdwebgateway,com,thirdwebgateway.com,bafybeig7vnyswt4a3ryzewn2y6o6ldxcgzhay5s5w7gotjt6h6kzrghkte.ipfs.thirdwebgateway.com,,,,,
https://0t5i1xg0n2ddj-1324577277.cos.ap-jakarta.myqcloud.com/0t5i1xg0n2ddj.html,myqcloud_1709935348327880.html,1,https,0t5i1xg0n2ddj-1324577277.cos.ap-jakarta,myqcloud,com,myqcloud.com,0t5i1xg0n2ddj-1324577277.cos.ap-jakarta.myqcloud.com,/0t5i1xg0n2ddj.html,,,,0t5i1xg0n2ddj.html
https://new.express.adobe.com/webpage/K89O6E5DG2YLl,adobe_1709935348853115.html,1,https,new.express,adobe,com,adobe.com,new.express.adobe.com,/webpage/K89O6E5DG2YLl,,,,K89O6E5DG2YLl
http://43.156.237.181/ServiceLogin?passive=1209600&amp;continue=https://accounts.google.com/?&amp;xrealip=107.178.232.181&amp;followup=https://accounts.google.com/?&amp;xrealip=107.178.232.181,43.156.237.181_1709935357966988.html,1,http,,43.156.237.181,,43.156.237.181.,43.156.237.181,/ServiceLogin,,passive=1209600&amp;continue=https://accounts.google.com/?&amp;xrealip=107.178.232.181&amp;followup=https://accounts.google.com/?&amp;xrealip=107.178.232.181,,ServiceLogin
https://sign-in-att-100012.weeblysite.com/,weeblysite_1709935359753756.html,1,https,sign-in-att-100012,weeblysite,com,weeblysite.com,sign-in-att-100012.weeblysite.com,/,,,,
http://nft.vip-tokyo.jp,vip-tokyo_1709935362720148.html,1,http,nft,vip-tokyo,jp,vip-tokyo.jp,nft.vip-tokyo.jp,,,,,
https://fixe-orange.godaddysites.com/,godaddysites_1709935362862853.html,1,https,fixe-orange,godaddysites,com,godaddysites.com,fixe-orange.godaddysites.com,/,,,,
http://20.199.80.76/br/safra,20.199.80.76_1709935364022405.html,1,http,,20.199.80.76,,20.199.80.76.,20.199.80.76,/br/safra,,,,safra
https://biprovinciacx.webcindario.com/Inicio/,webcindario_1709935365280976.html,1,https,biprovinciacx,webcindario,com,webcindario.com,biprovinciacx.webcindario.com,/Inicio/,,,,
https://pub-55d4e66ad88746a881ca38372f04d03d.r2.dev/edifa.html,r2_1709935365482108.html,1,https,pub-55d4e66ad88746a881ca38372f04d03d,r2,dev,r2.dev,pub-55d4e66ad88746a881ca38372f04d03d.r2.dev,/edifa.html,,,,edifa.html
https://ipfs.eth.aragon.network/ipfs/bafybeid2hcolte23fnnj6znbue2aldaghgrwlllc2dkot23qhydysgcsby,aragon_1709935370918375.html,1,https,ipfs.eth,aragon,network,aragon.network,ipfs.eth.aragon.network,/ipfs/bafybeid2hcolte23fnnj6znbue2aldaghgrwlllc2dkot23qhydysgcsby,,,,bafybeid2hcolte23fnnj6znbue2aldaghgrwlllc2dkot23qhydysgcsby
https://loginmircosoft.myportfolio.com/,myportfolio_1709935371365001.html,1,https,loginmircosoft,myportfolio,com,myportfolio.com,loginmircosoft.myportfolio.com,/,,,,
https://pub-a792eac17e974e6cbd35f02e35b8dce3.r2.dev/indexjs%20%282%29.html,r2_1709935371984616.html,1,https,pub-a792eac17e974e6cbd35f02e35b8dce3,r2,dev,r2.dev,pub-a792eac17e974e6cbd35f02e35b8dce3.r2.dev,/indexjs%20%282%29.html,,,,indexjs%20%282%29.html
https://nftstorage.link/ipfs/QmY9yhupGB9BqQbrS4j7LcPUot2qxtEgWvZm3cDwwCNLkh/links.html,nftstorage_1709935372436247.html,1,https,,nftstorage,link,nftstorage.link,nftstorage.link,/ipfs/QmY9yhupGB9BqQbrS4j7LcPUot2qxtEgWvZm3cDwwCNLkh/links.html,,,,links.html
https://docs.google.com/presentation/d/e/2PACX-1vSq1_J95M0_VUVl5gJKwv6UZZQwTuiDSuHmAXy5myKy2frHg5BP7buOqHPpVViNOdorsoSk4-FRmWYt/pub?start=false&amp;loop=false&amp;delayms=3000,google_1709935373667758.html,1,https,docs,google,com,google.com,docs.google.com,/presentation/d/e/2PACX-1vSq1_J95M0_VUVl5gJKwv6UZZQwTuiDSuHmAXy5myKy2frHg5BP7buOqHPpVViNOdorsoSk4-FRmWYt/pub,,start=false&amp;loop=false&amp;delayms=3000,,pub
https://porezna-uprava-f0415.firebaseapp.com/,firebaseapp_1709935373819085.html,1,https,porezna-uprava-f0415,firebaseapp,com,firebaseapp.com,porezna-uprava-f0415.firebaseapp.com,/,,,,
https://cf-ipfs.com/ipfs/QmTBFpABuB53DiCr3CyuqiRr8ze3Fw3U8w8ZgN4zqf5ZgF,cf-ipfs_1709935374193123.html,1,https,,cf-ipfs,com,cf-ipfs.com,cf-ipfs.com,/ipfs/QmTBFpABuB53DiCr3CyuqiRr8ze3Fw3U8w8ZgN4zqf5ZgF,,,,QmTBFpABuB53DiCr3CyuqiRr8ze3Fw3U8w8ZgN4zqf5ZgF
