,cantina
3000,1.0
3001,0.0
3002,1.0
3003,0.0
3004,1.0
3005,1.0
3006,1.0
3007,1.0
3008,0.0
3009,1.0
3010,1.0
3011,1.0
3012,1.0
3013,1.0
3014,1.0
3015,1.0
3016,1.0
3017,1.0
3018,1.0
3019,0.0
3020,1.0
3021,1.0
3022,1.0
3023,0.0
3024,1.0
3025,1.0
3026,1.0
3027,1.0
3028,1.0
3029,1.0
3030,1.0
3031,1.0
3032,1.0
3033,1.0
3034,1.0
3035,1.0
3036,1.0
3037,1.0
3038,1.0
3039,1.0
3040,0.0
3041,1.0
3042,1.0
3043,1.0
3044,1.0
3045,1.0
3046,1.0
3047,1.0
3048,1.0
3049,1.0
3050,1.0
3051,0.0
3052,1.0
3053,1.0
3054,0.0
3055,1.0
3056,1.0
3057,1.0
3058,1.0
3059,0.0
3060,1.0
3061,1.0
3062,1.0
3063,1.0
3064,1.0
3065,1.0
3066,0.0
3067,0.0
3068,1.0
3069,1.0
3070,1.0
3071,1.0
3072,1.0
3073,1.0
3074,1.0
3075,1.0
3076,1.0
3077,1.0
3078,1.0
3079,1.0
3080,0.0
3081,0.0
3082,1.0
3083,1.0
3084,1.0
3085,1.0
3086,1.0
3087,1.0
3088,1.0
3089,1.0
3090,1.0
3091,1.0
3092,0.0
3093,1.0
3094,1.0
3095,1.0
3096,1.0
3097,0.0
3098,1.0
3099,1.0
3100,1.0
3101,0.0
3102,1.0
3103,1.0
3104,1.0
3105,0.0
3106,1.0
3107,1.0
3108,1.0
3109,1.0
3110,0.0
3111,1.0
3112,1.0
3113,1.0
3114,1.0
3115,1.0
3116,1.0
3117,1.0
3118,1.0
3119,1.0
3120,0.0
3121,1.0
3122,0.0
3123,1.0
3124,0.0
3125,0.0
3126,1.0
3127,1.0
3128,1.0
3129,1.0
3130,1.0
3131,0.0
3132,1.0
3133,1.0
3134,1.0
3135,1.0
3136,1.0
3137,1.0
3138,1.0
3139,1.0
3140,1.0
3141,1.0
3142,1.0
3143,0.0
3144,1.0
3145,1.0
3146,1.0
3147,1.0
3148,1.0
3149,1.0
3150,1.0
3151,1.0
3152,1.0
3153,1.0
3154,1.0
3155,1.0
3156,0.0
3157,1.0
3158,1.0
3159,0.0
3160,1.0
3161,1.0
3162,1.0
3163,1.0
3164,1.0
3165,1.0
3166,1.0
3167,1.0
3168,1.0
3169,1.0
3170,0.0
3171,1.0
3172,1.0
3173,1.0
3174,1.0
3175,1.0
3176,1.0
3177,0.0
3178,1.0
3179,1.0
3180,0.0
3181,1.0
3182,1.0
3183,1.0
3184,0.0
3185,1.0
3186,1.0
3187,1.0
3188,1.0
3189,1.0
3190,1.0
3191,1.0
3192,1.0
3193,1.0
3194,1.0
3195,1.0
3196,1.0
3197,1.0
3198,1.0
3199,1.0
3200,1.0
3201,1.0
3202,1.0
3203,1.0
3204,1.0
3205,1.0
3206,1.0
3207,1.0
3208,1.0
3209,0.0
3210,1.0
3211,1.0
3212,1.0
3213,1.0
3214,1.0
3215,1.0
3216,0.0
3217,1.0
3218,1.0
3219,0.0
3220,1.0
3221,1.0
3222,1.0
3223,0.0
3224,1.0
3225,1.0
3226,1.0
3227,1.0
3228,1.0
3229,1.0
3230,1.0
3231,1.0
3232,1.0
3233,1.0
3234,0.0
3235,1.0
3236,1.0
3237,1.0
3238,1.0
3239,0.0
3240,1.0
3241,1.0
3242,1.0
3243,0.0
3244,1.0
3245,0.0
3246,0.0
3247,1.0
3248,1.0
3249,1.0
