,cantina
4250,1.0
4251,1.0
4252,1.0
4253,1.0
4254,1.0
4255,1.0
4256,0.0
4257,1.0
4258,1.0
4259,0.0
4260,1.0
4261,0.0
4262,1.0
4263,1.0
4264,1.0
4265,0.0
4266,1.0
4267,0.0
4268,1.0
4269,0.0
4270,1.0
4271,1.0
4272,1.0
4273,1.0
4274,0.0
4275,1.0
4276,1.0
4277,1.0
4278,1.0
4279,0.0
4280,1.0
4281,1.0
4282,1.0
4283,1.0
4284,1.0
4285,1.0
4286,1.0
4287,1.0
4288,1.0
4289,1.0
4290,0.0
4291,1.0
4292,1.0
4293,1.0
4294,1.0
4295,1.0
4296,1.0
4297,1.0
4298,1.0
4299,1.0
4300,1.0
4301,1.0
4302,1.0
4303,1.0
4304,1.0
4305,1.0
4306,1.0
4307,1.0
4308,1.0
4309,1.0
4310,0.0
4311,1.0
4312,0.0
4313,1.0
4314,1.0
4315,1.0
4316,1.0
4317,1.0
4318,1.0
4319,1.0
4320,1.0
4321,1.0
4322,1.0
4323,1.0
4324,1.0
4325,1.0
4326,1.0
4327,1.0
4328,1.0
4329,1.0
4330,1.0
4331,1.0
4332,0.0
4333,1.0
4334,1.0
4335,1.0
4336,1.0
4337,1.0
4338,1.0
4339,1.0
4340,0.0
4341,0.0
4342,1.0
4343,1.0
4344,1.0
4345,1.0
4346,1.0
4347,1.0
4348,1.0
4349,1.0
4350,1.0
4351,1.0
4352,1.0
4353,1.0
4354,1.0
4355,1.0
4356,1.0
4357,1.0
4358,1.0
4359,1.0
4360,1.0
4361,1.0
4362,0.0
4363,1.0
4364,1.0
4365,0.0
4366,1.0
4367,1.0
4368,1.0
4369,1.0
4370,1.0
4371,0.0
4372,1.0
4373,1.0
4374,0.0
4375,1.0
4376,1.0
4377,1.0
4378,1.0
4379,0.0
4380,0.0
4381,0.0
4382,1.0
4383,1.0
4384,1.0
4385,1.0
4386,0.0
4387,1.0
4388,1.0
4389,1.0
4390,1.0
4391,1.0
4392,0.0
4393,1.0
4394,1.0
4395,1.0
4396,1.0
4397,0.0
4398,1.0
4399,1.0
4400,1.0
4401,1.0
4402,1.0
4403,1.0
4404,1.0
4405,0.0
4406,0.0
4407,1.0
4408,1.0
4409,1.0
4410,1.0
4411,1.0
4412,1.0
4413,1.0
4414,0.0
4415,1.0
4416,1.0
4417,1.0
4418,1.0
4419,1.0
4420,0.0
4421,1.0
4422,0.0
4423,1.0
4424,1.0
4425,1.0
4426,1.0
4427,1.0
4428,1.0
4429,1.0
4430,1.0
4431,1.0
4432,1.0
4433,1.0
4434,0.0
4435,1.0
4436,1.0
4437,1.0
4438,0.0
4439,0.0
4440,1.0
4441,1.0
4442,1.0
4443,1.0
4444,0.0
4445,1.0
4446,0.0
4447,1.0
4448,1.0
4449,1.0
4450,1.0
4451,1.0
4452,1.0
4453,1.0
4454,1.0
4455,1.0
4456,1.0
4457,0.0
4458,1.0
4459,1.0
4460,1.0
4461,1.0
4462,1.0
4463,1.0
4464,1.0
4465,1.0
4466,0.0
4467,1.0
4468,1.0
4469,1.0
4470,1.0
4471,1.0
4472,1.0
4473,0.0
4474,1.0
4475,1.0
4476,0.0
4477,1.0
4478,1.0
4479,1.0
4480,1.0
4481,1.0
4482,1.0
4483,1.0
4484,1.0
4485,0.0
4486,1.0
4487,1.0
4488,1.0
4489,1.0
4490,0.0
4491,1.0
4492,1.0
4493,1.0
4494,1.0
4495,1.0
4496,1.0
4497,0.0
4498,1.0
4499,1.0
