,cantina
7250,1.0
7251,1.0
7252,1.0
7253,0.0
7254,1.0
7255,1.0
7256,1.0
7257,1.0
7258,1.0
7259,1.0
7260,1.0
7261,1.0
7262,1.0
7263,1.0
7264,1.0
7265,1.0
7266,1.0
7267,1.0
7268,1.0
7269,1.0
7270,1.0
7271,1.0
7272,1.0
7273,1.0
7274,1.0
7275,1.0
7276,1.0
7277,1.0
7278,0.0
7279,0.0
7280,1.0
7281,1.0
7282,0.0
7283,1.0
7284,1.0
7285,1.0
7286,1.0
7287,1.0
7288,1.0
7289,1.0
7290,1.0
7291,1.0
7292,1.0
7293,1.0
7294,1.0
7295,1.0
7296,1.0
7297,1.0
7298,1.0
7299,1.0
7300,1.0
7301,1.0
7302,0.0
7303,1.0
7304,1.0
7305,1.0
7306,1.0
7307,1.0
7308,1.0
7309,1.0
7310,0.0
7311,0.0
7312,1.0
7313,1.0
7314,1.0
7315,1.0
7316,0.0
7317,1.0
7318,1.0
7319,1.0
7320,1.0
7321,0.0
7322,1.0
7323,0.0
7324,1.0
7325,1.0
7326,1.0
7327,1.0
7328,1.0
7329,1.0
7330,1.0
7331,1.0
7332,1.0
7333,1.0
7334,1.0
7335,1.0
7336,1.0
7337,1.0
7338,1.0
7339,1.0
7340,1.0
7341,1.0
7342,0.0
7343,1.0
7344,1.0
7345,1.0
7346,1.0
7347,1.0
7348,1.0
7349,1.0
7350,0.0
7351,1.0
7352,1.0
7353,1.0
7354,1.0
7355,1.0
7356,1.0
7357,0.0
7358,1.0
7359,1.0
7360,1.0
7361,1.0
7362,1.0
7363,0.0
7364,1.0
7365,1.0
7366,1.0
7367,1.0
7368,0.0
7369,1.0
7370,0.0
7371,1.0
7372,1.0
7373,0.0
7374,1.0
7375,1.0
7376,1.0
7377,1.0
7378,1.0
7379,1.0
7380,1.0
7381,1.0
7382,0.0
7383,1.0
7384,1.0
7385,0.0
7386,1.0
7387,1.0
7388,1.0
7389,1.0
7390,1.0
7391,1.0
7392,1.0
7393,1.0
7394,1.0
7395,0.0
7396,1.0
7397,1.0
7398,1.0
7399,1.0
7400,1.0
7401,1.0
7402,1.0
7403,1.0
7404,0.0
7405,1.0
7406,1.0
7407,0.0
7408,0.0
7409,1.0
7410,1.0
7411,1.0
7412,1.0
7413,1.0
7414,1.0
7415,1.0
7416,1.0
7417,1.0
7418,1.0
7419,1.0
7420,1.0
7421,1.0
7422,1.0
7423,1.0
7424,1.0
7425,1.0
7426,1.0
7427,1.0
7428,1.0
7429,1.0
7430,1.0
7431,1.0
7432,1.0
7433,1.0
7434,1.0
7435,1.0
7436,0.0
7437,1.0
7438,0.0
7439,0.0
7440,1.0
7441,0.0
7442,1.0
7443,1.0
7444,0.0
7445,0.0
7446,1.0
7447,1.0
7448,1.0
7449,1.0
7450,1.0
7451,0.0
7452,1.0
7453,1.0
7454,0.0
7455,1.0
7456,1.0
7457,1.0
7458,1.0
7459,1.0
7460,1.0
7461,1.0
7462,1.0
7463,1.0
7464,1.0
7465,1.0
7466,1.0
7467,1.0
7468,1.0
7469,1.0
7470,1.0
7471,1.0
7472,0.0
7473,1.0
7474,1.0
7475,1.0
7476,1.0
7477,1.0
7478,1.0
7479,1.0
7480,1.0
7481,1.0
7482,1.0
7483,1.0
7484,1.0
7485,1.0
7486,1.0
7487,1.0
7488,1.0
7489,1.0
7490,1.0
7491,1.0
7492,1.0
7493,1.0
7494,0.0
7495,1.0
7496,1.0
7497,0.0
7498,1.0
7499,1.0
